gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4947600567	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/0e52b0534528f1e08631cd017aaf7fd0.jpg	http://specimens.kew.org/herbarium/K001936103									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4926503342	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/963a184c7e24d5f86b7fe778e34576d9.jpg	http://specimens.kew.org/herbarium/K001908109									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4922185849	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/5ccc9e0a516f849dc1def78406d0b9df.jpg	http://specimens.kew.org/herbarium/K001874557									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4905282977	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/8327165fb5ccc90611904e2604c880ea.jpg	http://specimens.kew.org/herbarium/K001907392									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4905275894	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/48eb429badea15a15e29301d43d22e4b.jpg	http://specimens.kew.org/herbarium/K001907372									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4905245004	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/9277f22877cf738b41fd161583ab44ff.jpg	http://specimens.kew.org/herbarium/K001907402									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4897552237	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/36c360c99c1ba0717d40135d3ed8d2e9.jpg	http://specimens.kew.org/herbarium/K001872756									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4873089086	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/ac404704ccf0802b0cfa35c89e5f4b4c.jpg	http://specimens.kew.org/herbarium/K001930546									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4873089086	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/06acf97838a8dd946ef4ca1d29241918.jpg	http://specimens.kew.org/herbarium/K001930546									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4873086239	StillImage	image/jpeg	https://d2seqvvyy3b8p2.cloudfront.net/a7fbe64baf34007b9803eba3f9731571.jpg	http://specimens.kew.org/herbarium/K001970322									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
