gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4947600567				CC_BY_4_0	2024-09-20T12:03:55.833Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001936103	K001936103	13673	Bester, S.P.															PRESENT																							2017-10-15T00:00		288	288	2017	10	15												AFRICA				ZA				Wonderboom District, ca. 600m NNE of Petronella Station									-25.501694	28.257083																																																		Bulbostylis scabricaulis Cherm.							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			scabricaulis			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:01:13.503Z	1160.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292386	5292386	6	7707728	196	1369	7708	2719209		5292386	Bulbostylis scabricaulis	Bulbostylis scabricaulis Cherm.	Bulbostylis scabricaulis		DWC_ARCHIVE	2025-07-25T00:01:13.503Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZAF	South Africa	ZAF.3_1	Gauteng	ZAF.3.2_1	City of Tshwane	ZAF.3.2.1_1	City of Tshwane	
4926503342				CC_BY_4_0	2024-08-28T16:22:23.883Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001908109	K001908109	10006	Merrett, L.; Vollesen in Bidgood, K.															PRESENT																							2023-01-12T00:00		12	12	2023	1	12											Mpika Distr.	AFRICA				ZM			Mpika Distr.	Mutinondo Wilderness Area, Lodge Rock to mafoni Junct									-12.45	31.3																																																		Bulbostylis densa (Wall.) Hand.-Mazz.							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			densa			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:00:39.779Z	1450.0					GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292267	5292267	6	7707728	196	1369	7708	2719209		5292267	Bulbostylis densa	Bulbostylis densa (Wall.) Hand.-Mazz.	Bulbostylis densa		DWC_ARCHIVE	2025-07-25T00:00:39.779Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZMB	Zambia	ZMB.6_1	Muchinga	ZMB.6.5_2	Lavushimanda			LC
4922185849				CC_BY_4_0	2024-08-12T14:35:10.120Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001874557	K001874557	10095	Vollesen in Bidgood, K.															PRESENT																							2023-01-26T00:00		26	26	2023	1	26											Mpika Distr.	AFRICA				ZM			Mpika Distr.	Little Kabasano Dambo									-12.45	31.3																																																		Bulbostylis boeckeleriana (Schweinf.) Beetle							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			boeckeleriana			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-24T23:59:31.734Z	4350.0					GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292239	5292239	6	7707728	196	1369	7708	2719209		5292239	Bulbostylis boeckeleriana	Bulbostylis boeckeleriana (Schweinf.) Beetle	Bulbostylis boeckeleriana		DWC_ARCHIVE	2025-07-24T23:59:31.734Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZMB	Zambia	ZMB.6_1	Muchinga	ZMB.6.5_2	Lavushimanda			
4905282977				CC_BY_4_0	2024-07-05T14:21:16.703Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001907392	K001907392	2353	Merrett, L.															PRESENT																							2018-03-12T00:00		71	71	2018	3	12											Mafinga Dist.	AFRICA				ZM			Mafinga Dist.	south end near malawi-Zambia border, above Masumba River.									-10.0	33.316667																																																		Bulbostylis filamentosa (Vahl) C.B.Clarke							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			filamentosa			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-24T23:59:32.257Z	2220.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292252	5292252	6	7707728	196	1369	7708	2719209		5292252	Bulbostylis filamentosa	Bulbostylis filamentosa (Vahl) C.B.Clarke	Bulbostylis filamentosa		DWC_ARCHIVE	2025-07-24T23:59:32.257Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZMB	Zambia	ZMB.6_1	Muchinga	ZMB.6.6_2	Mafinga			
4905275894				CC_BY_4_0	2024-07-05T11:03:23.220Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001907372	K001907372	2411	Merrett, L.															PRESENT																							2018-03-13T00:00		72	72	2018	3	13											Mafinga Dist.	AFRICA				ZM			Mafinga Dist.	south end near Malawi-Zambia border, above Masumba River along ridge to source og Luangwa River.									-10.0	33.316667																																																		Bulbostylis scabricaulis Cherm.							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			scabricaulis			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:00:03.514Z	2220.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292386	5292386	6	7707728	196	1369	7708	2719209		5292386	Bulbostylis scabricaulis	Bulbostylis scabricaulis Cherm.	Bulbostylis scabricaulis		DWC_ARCHIVE	2025-07-25T00:00:03.514Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZMB	Zambia	ZMB.6_1	Muchinga	ZMB.6.6_2	Mafinga			
4905245004				CC_BY_4_0	2024-07-05T14:51:36.700Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001907402	K001907402	2345	Merrett, L.															PRESENT																							2018-03-12T00:00		71	71	2018	3	12											Mafinga Prov.	AFRICA				ZM			Mafinga Prov.	south end near malawi-Zambia border, above Masumba River.									-10.0	33.316667																																																		Bulbostylis boeckeleriana (Schweinf.) Beetle							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			boeckeleriana			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:00:29.062Z	2220.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292239	5292239	6	7707728	196	1369	7708	2719209		5292239	Bulbostylis boeckeleriana	Bulbostylis boeckeleriana (Schweinf.) Beetle	Bulbostylis boeckeleriana		DWC_ARCHIVE	2025-07-25T00:00:29.062Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZMB	Zambia	ZMB.6_1	Muchinga	ZMB.6.6_2	Mafinga			
4897552237				CC_BY_4_0	2024-06-19T10:20:24.663Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001872756	K001872756	17074	Luke, W.R.Q.															PRESENT																							2015-12-06T00:00		340	340	2015	12	6												AFRICA				KE													0.1344	38.1371																																																		Bulbostylis barbata (Rottb.) C.B.Clarke							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			barbata			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:00:07.163Z	650.0					GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292372	5292372	6	7707728	196	1369	7708	2719209		5292372	Bulbostylis barbata	Bulbostylis barbata (Rottb.) C.B.Clarke	Bulbostylis barbata		DWC_ARCHIVE	2025-07-25T00:00:07.163Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	KEN	Kenya	KEN.26_1	Meru	KEN.26.5_1	Igembe South	KEN.26.5.2_1	Athiru Gaiti	
4873089086				CC_BY_4_0	2024-05-24T14:51:31.943Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001930546	K001930546																	PRESENT																							2018-03-13T00:00		72	72	2018	3	13	13 March 2018										Mafinga Distr	AFRICA				ZM			Mafinga Distr	south end near Malawi-Zambia border, above Masumba River along ridge to source of Luangwa River.									-10.0	33.316667																																																		Bulbostylis filamentosa (Vahl) C.B.Clarke							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			filamentosa			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:00:29.602Z	2220.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	5292252	5292252	6	7707728	196	1369	7708	2719209		5292252	Bulbostylis filamentosa	Bulbostylis filamentosa (Vahl) C.B.Clarke	Bulbostylis filamentosa		DWC_ARCHIVE	2025-07-25T00:00:29.602Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	ZMB	Zambia	ZMB.6_1	Muchinga	ZMB.6.6_2	Mafinga			
4873086239				CC_BY_4_0	2025-07-18T20:47:16.200Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001970322	K001970322	698	Simbiano, F.J.; Thiam, A.; Touré, M.; Bangoura, G.															PRESENT																							2023-11-17T00:00		321	321	2023	11	17		Savane sur bowal						Herbe vivace de 1,5 m de haut. Inflorescence en panicule.				AFRICA				GN				Guinée, Kindia Préfecture, between villages Dokokouré and Tinekouré.									9.792083	-12.811917																																				F.J. Simbiano														Bulbostylis briziformis (Hutch.) Larridon & Roalson							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis	Bulbostylis			briziformis			SPECIES				ACCEPTED			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-24T23:59:32.780Z	463.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH			StillImage	true	false	11088571	11088571	6	7707728	196	1369	7708	2719209		11088571	Bulbostylis briziformis	Bulbostylis briziformis (Hutch.) Larridon & Roalson	Bulbostylis briziformis		DWC_ARCHIVE	2025-07-24T23:59:32.780Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	GIN	Guinea	GIN.5_1	Kindia	GIN.5.4_1	Kindia	GIN.5.4.8_1	Molota	LC
4873086234				CC_BY_4_0	2024-05-30T11:13:00.813Z								K	Herbarium			PRESERVED_SPECIMEN				http://specimens.kew.org/herbarium/K001970252	K001970252	585	Simbiano, F.J.; Diabaté, M.; Konaté, L.															PRESENT																							2022-11-06T00:00		310	310	2022	11	6		Savane herbeuse sur cuirasse.						Herbe en touffe trainante sur les rochers à feuilles simples alternes linéaires longs, nervation unique. Inflorescence en boule ou en glomérule. Fleurs marrons.				AFRICA				GN				Mt. Simandou.									9.062417	-8.948583																																				Diabaté, M.														Nemum Desv.							Cyperaceae	Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Bulbostylis							GENUS				SYNONYM			cd6e21c8-9e8a-493a-8a76-fbf7862069e5	GB	2025-07-25T00:00:32.916Z	1027.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH				true	false	2718964	2719209	6	7707728	196	1369	7708	2719209				Bulbostylis Kunth	Nemum		DWC_ARCHIVE	2025-07-25T00:00:32.916Z	2025-07-24T23:26:45.206Z	true			false	AFRICA	EUROPE	GIN	Guinea	GIN.4_1	Kankan	GIN.4.2_1	Kérouané	GIN.4.2.5_1	Kounsankoro	
