gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4947600567					2024-09-20 12:03:55.833000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001936103	K001936103	13673	Bester, S.P.																																							2017-10-15 00:00:00.0000000																						South Africa	ZA				Wonderboom District, ca. 600m NNE of Petronella Station		1160.0											-25.501694444444446	28.257083333333334																																																						Bulbostylis scabricaulis							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				scabricaulis					Cherm.					
4926503342					2024-08-28 16:22:23.883000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001908109	K001908109	10006	Merrett, L.; Vollesen in Bidgood, K.																																							2023-01-12 00:00:00.0000000																	Mpika Distr.					Zambia	ZM			Mpika Distr.	Mutinondo Wilderness Area, Lodge Rock to mafoni Junct		1450.0											-12.45	31.3																																																						Bulbostylis densa							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				densa					(Wall.) Hand.-Mazz.					
4922185849					2024-08-12 14:35:10.120000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001874557	K001874557	10095	Vollesen in Bidgood, K.																																							2023-01-26 00:00:00.0000000																	Mpika Distr.					Zambia	ZM			Mpika Distr.	Little Kabasano Dambo		4350.0											-12.45	31.3																																																						Bulbostylis boeckeleriana							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				boeckeleriana					(Schweinf.) Beetle					
4905282977					2024-07-05 14:21:16.703000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001907392	K001907392	2353	Merrett, L.																																							2018-03-12 00:00:00.0000000																	Mafinga Dist.					Zambia	ZM			Mafinga Dist.	south end near malawi-Zambia border, above Masumba River.		2220.0											-10.0	33.31666666666667																																																						Bulbostylis filamentosa							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				filamentosa					(Vahl) C.B.Clarke					
4905275894					2024-07-05 11:03:23.220000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001907372	K001907372	2411	Merrett, L.																																							2018-03-13 00:00:00.0000000																	Mafinga Dist.					Zambia	ZM			Mafinga Dist.	south end near Malawi-Zambia border, above Masumba River along ridge to source og Luangwa River.		2220.0											-10.0	33.31666666666667																																																						Bulbostylis scabricaulis							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				scabricaulis					Cherm.					
4905245004					2024-07-05 14:51:36.700000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001907402	K001907402	2345	Merrett, L.																																							2018-03-12 00:00:00.0000000																	Mafinga Prov.					Zambia	ZM			Mafinga Prov.	south end near malawi-Zambia border, above Masumba River.		2220.0											-10.0	33.31666666666667																																																						Bulbostylis boeckeleriana							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				boeckeleriana					(Schweinf.) Beetle					
4897552237					2024-06-19 10:20:24.663000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001872756	K001872756	17074	Luke, W.R.Q.																																							2015-12-06 00:00:00.0000000																						Kenya	KE						650.0											0.1344	38.1371																																																						Bulbostylis barbata							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				barbata					(Rottb.) C.B.Clarke					
4873089086					2024-05-24 14:51:31.943000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001930546	K001930546																																									2018-03-13 00:00:00.0000000							13 March 2018										Mafinga Distr					Zambia	ZM			Mafinga Distr	south end near Malawi-Zambia border, above Masumba River along ridge to source of Luangwa River.		2220.0											-10.0	33.31666666666667																																																						Bulbostylis filamentosa							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				filamentosa					(Vahl) C.B.Clarke					
4873086239					2025-07-18 20:47:16.200000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001970322	K001970322	698	Simbiano, F.J.; Thiam, A.; Touré, M.; Bangoura, G.																																							2023-11-17 00:00:00.0000000								Savane sur bowal						Herbe vivace de 1,5 m de haut. Inflorescence en panicule.								Guinea	GN				Guinée, Kindia Préfecture, between villages Dokokouré and Tinekouré.		463.0											9.792083333333332	-12.811916666666667																																								F.J. Simbiano														Bulbostylis briziformis							Cyperaceae	Plantae					Cyperaceae				Bulbostylis				briziformis					(Hutch.) Larridon & Roalson					
4873086234					2024-05-30 11:13:00.813000								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K001970252	K001970252	585	Simbiano, F.J.; Diabaté, M.; Konaté, L.																																							2022-11-06 00:00:00.0000000								Savane herbeuse sur cuirasse.						Herbe en touffe trainante sur les rochers à feuilles simples alternes linéaires longs, nervation unique. Inflorescence en boule ou en glomérule. Fleurs marrons.								Guinea	GN				Mt. Simandou.		1027.0											9.062416666666667	-8.948583333333334																																								Diabaté, M.														Nemum							Cyperaceae	Plantae					Cyperaceae				Nemum									Desv.					
